Country Name,2015,2016,2017,2018,2019,2020,2021,GDPPC
Thailand,5840.053067,5993.305516,6593.818352,7298.947146,7814.384431,7158.766684,7233.388858,7233.388858
Tajikistan,978.4049812,807.1025861,848.6723799,853.2188734,890.5444024,852.8309878,897.087902,897.087902
Turkmenistan,6432.685325,6387.682575,6587.092604,6967.375043,7612.03518,,,0
Latin America & the Caribbean (IDA & IBRD countries),8480.625831,8185.147519,9037.781171,8740.515234,8519.254425,7062.47559,8100.572875,8100.572875
Timor-Leste,1332.791856,1353.754934,1299.494635,1249.138351,1583.713576,1442.730738,1457.825128,1457.825128
Middle East & North Africa (IDA & IBRD countries),3939.384091,3968.09362,3867.06706,3605.440104,3573.155702,3189.795404,3611.601011,3611.601011
Tonga,4336.239603,4157.877249,4513.432531,4740.700272,4903.012138,4624.823449,,4624.823449
South Asia (IDA & IBRD),1543.048131,1696.739629,1911.329754,1944.006635,1987.56834,1875.441391,2176.776671,2176.776671
Sub-Saharan Africa (IDA & IBRD countries),1692.674294,1538.244417,1622.982614,1606.863419,1618.920771,1501.779422,1645.472944,1645.472944
Trinidad and Tobago,18383.5387,16241.41096,16747.9067,17139.18567,17123.11629,15285.94049,15243.12287,15243.12287
Tunisia,4094.841602,3924.349092,3687.780316,3690.896932,3571.945048,3597.218525,3924.343925,3924.343925
Turkey,11006.27952,10894.60338,10589.66772,9454.348443,9121.515167,8536.43332,9586.61245,9586.61245
Tuvalu,3316.664522,3706.329903,3978.676452,4156.305128,4652.350846,4668.818743,5291.485244,5291.485244
Tanzania,947.9333496,966.5029907,1004.906616,1042.838745,1085.884888,1076.469727,1135.539673,1135.539673
Uganda,847.2676289,736.5598474,746.8307529,770.6007843,798.5857341,822.0276815,858.0575127,858.0575127
Ukraine,2124.662354,2187.730469,2638.326172,3096.561768,3661.456299,3751.740723,4835.571777,4835.571777
Upper middle income,8149.75184,8041.062324,8834.526226,9448.634854,9548.200238,9166.460854,10835.52317,10835.52317
Uruguay,15613.74597,16715.63347,18690.89384,18703.86029,17688.01501,15418.81531,17020.64864,17020.64864
United States of America,56762.72945,57866.74493,59914.7778,62805.25376,65094.79943,63027.67953,69287.53659,69287.53659
Uzbekistan,2753.971072,2704.677188,1916.764642,1597.068337,1784.009816,1749.655815,1983.064723,1983.064723
St. Vincent and the Grenadines,7207.170759,7438.792212,7717.846546,8024.028496,8229.722486,7860.821354,7996.614002,7996.614002
"Venezuela, RB",,,,,,,,0
British Virgin Islands,,,,,,,,0
Virgin Islands (U.S.),34007.35294,35324.97489,35365.0693,36653.86305,38596.03071,39552.1686,,39552.1686
Viet Nam,2581.622442,2745.565588,2974.117229,3230.927713,3425.089253,3526.274579,3694.019046,3694.019046
Vanuatu,2695.666186,2805.66532,3082.540055,3125.436014,3122.982599,2919.8368,3127.446248,3127.446248
World,10231.70259,10286.41133,10825.90237,11366.07367,11407.47933,10936.05747,12262.93462,12262.93462
